client_id,num_samples,entropy,foreground_class_1,foreground_class_2,foreground_class_3,background_fraction,empty_foreground_fraction
0,35,1.3663834078334793,0.14327541473654415,0.5836494428543049,0.27307514240915104,0.9520634378705706,0.0
1,35,1.3242057111881103,0.13077264835830835,0.6095919597023866,0.25963539193930507,0.9535123007638114,0.0
2,35,1.3954528383023448,0.2047187936317659,0.5840111139763363,0.21127009239189776,0.9589491844177246,0.0
3,34,1.3736463361883144,0.13891768789694633,0.5725253274185407,0.28855698468451296,0.9598239169401281,0.0
4,34,1.269953359380993,0.12152938150822976,0.6433545856776957,0.23511603281407456,0.9572466681985294,0.0
5,34,1.1791400960472922,0.1225143555891797,0.6973776630527008,0.18010798135811948,0.9554537464590633,0.0
6,34,1.339247447027889,0.1500654558685442,0.6103552296116589,0.23957931451979686,0.9508164489970488,0.0
7,34,1.3837172205569914,0.16300679568790757,0.5820597799034862,0.2549334244086062,0.9546655346365536,0.0
8,34,1.1252195485371583,0.09289694316201104,0.713153791925827,0.19394926491216197,0.9573072826161104,0.0
9,34,1.1961343885049003,0.10770588435300554,0.6818545433189396,0.2104395723280549,0.9546276821809656,0.0
10,34,1.312384822130947,0.14697892010426705,0.627940612857165,0.22508046703856802,0.9627846689785228,0.0
11,34,1.2074219703635365,0.10299992450008931,0.671945890503032,0.22505418499687874,0.96191985466901,0.0
12,34,1.1090411594001626,0.10515916179982554,0.7266311532956556,0.1682096849045188,0.9540349876179415,0.0
13,34,1.4102992781818409,0.16249618359903006,0.5573570691732812,0.2801467472276888,0.9602199722738827,0.0
14,34,1.3992859439874816,0.18165648402629891,0.5773516641083668,0.24099185186533434,0.9583915542153751,0.0
15,34,1.3057354430384722,0.13276465756977565,0.6252246709889533,0.24201067144127106,0.9552271506365608,0.0
16,34,1.149655933599869,0.10889975515735245,0.7079402400276984,0.18316000481494918,0.9660958823035745,0.0
17,34,1.3311189691993264,0.14510554771002726,0.6137948141479084,0.24109963814206434,0.95375096096712,0.0
18,34,1.2262633897557373,0.1169349031766963,0.6688877946027951,0.21417730222050854,0.9577349213992848,0.0
19,34,1.226998117732784,0.12803165495484897,0.6733663035879766,0.19860204145717447,0.9488617812885958,0.0
