client_id,num_samples,entropy,foreground_class_1,foreground_class_2,foreground_class_3,background_fraction,empty_foreground_fraction
0,35,1.4814531590765028,0.21446598763560804,0.5130578241356755,0.27247618822871644,0.9549688884190151,0.0
1,35,1.5259491805057963,0.20441396864666841,0.40697094226514735,0.3886150890881842,0.9541833060128349,0.0
2,35,1.31930289484978,0.1505152249864556,0.6246861789725128,0.22479859604103164,0.9543837683541434,0.0
3,34,1.250419583628665,0.1277007252831149,0.6594211207832159,0.21287815393366916,0.9531567096710205,0.0
4,34,1.274828572496639,0.12577796683486717,0.6426824280118086,0.23153960515332425,0.957106351852417,0.0
5,34,0.73763861173637,0.045480719479695786,0.8516393032196327,0.10287997730067153,0.9596672058105469,0.0
6,34,1.1121350317814669,0.10995164322522921,0.7265843557895331,0.16346400098523775,0.9527405991273767,0.0
7,34,1.325425641776971,0.1696806537228527,0.6259695537004543,0.204349792576693,0.9513486834133372,0.0
8,34,1.1820398040166813,0.10269151701159039,0.687189091658022,0.21011939133038762,0.9556019165936638,0.0
9,34,1.2836737009608465,0.12974386526347093,0.6389763008511896,0.23127983388533946,0.9592519788181081,0.0
10,34,1.2668441185133221,0.10650872946575798,0.6333267310838686,0.26016453945037343,0.9540460670695585,0.0
11,34,1.5045182079848867,0.2501911584508677,0.25441372381917504,0.49539511772995726,0.9679755323073443,0.0
12,34,1.099762493439556,0.09807737939958822,0.728530687500829,0.17339193309958276,0.9524213987238267,0.0
13,34,1.454364357983688,0.17356559483901962,0.5168053043746472,0.30962910078633316,0.95375797327827,0.0
14,34,1.4688465842588734,0.21438006998357045,0.5260810795642185,0.2595388504522111,0.952521520502427,0.0
15,34,1.26323937389214,0.1320877235047781,0.6534496304640576,0.21446264603116438,0.9534993311938118,0.0
16,34,1.3517068216867028,0.1364813293751299,0.5909967689920103,0.27252190163285983,0.9652532268972958,0.0
17,34,1.299280516627636,0.13245062114322254,0.6296852769901434,0.237864101866634,0.9606091555427102,0.0
18,34,0.747793040337282,0.05587133758047454,0.851546543587895,0.09258211883163042,0.9582918672000661,0.0
19,34,0.3597339970035303,0.014848577102303452,0.9436346387522349,0.04151678414546171,0.9627315437092501,0.0
